Course Code,"Majors, Minors & Specialisations"
MC-HUMRLAW,"Majors, minors & specialisations Last updated: 21 June 2024"
GD-ENRSLAW,"Majors, minors & specialisations Last updated: 21 June 2024"
MC-ENRSLAW,"Majors, minors & specialisations Last updated: 21 June 2024"
MC-ENRSLAW,"Majors, minors & specialisations Last updated: 21 June 2024"
MC-GCCLAW,"Majors, minors & specialisations Last updated: 22 June 2024"
MC-PRIVLAW,"Majors, minors & specialisations Last updated: 22 June 2024"
GD-GCCLAW,"Majors, minors & specialisations Last updated: 22 June 2024"
SC-GCLAW,"Majors, minors & specialisations Last updated: 22 June 2024"
498AB,"Majors, minors & specialisations Last updated: 22 June 2024"
343AA,"Majors, minors & specialisations Last updated: 22 June 2024"
518AB,"Majors, minors & specialisations Last updated: 22 June 2024"
SC-LGLLEAD,"Majors, minors & specialisations Last updated: 22 June 2024"
188AA,"Majors, minors & specialisations Last updated: 23 June 2024"
B-FAVISART,"Majors, minors & specialisations Last updated: 24 June 2024"
GC-LANGCL,"Majors, minors & specialisations Last updated: 25 June 2024"
MC-MUSORP,"Majors, minors & specialisations Last updated: 23 October 2024"
PR-LANGCL,"Majors, minors & specialisations Last updated: 25 June 2024"
GDA-PUBCOM,"Majors, minors & specialisations Last updated: 1 July 2024"
GCA-PUBCOM,"Majors, minors & specialisations Last updated: 1 July 2024"
SC-CRIMFD,"Majors, minors & specialisations Last updated: 2 July 2024"
SC-IMUSTCH,"Majors, minors & specialisations Last updated: 2 July 2024"
MC-URBDES,"Majors, minors & specialisations Last updated: 2 July 2024"
BH-COM,"Majors, minors & specialisations Last updated: 3 July 2024"
GD-CLINRHB,"Majors, minors & specialisations Last updated: 4 July 2024"
GD-YOUTHMH,"Majors, minors & specialisations Last updated: 4 July 2024"
MC-PHTYPH,"Majors, minors & specialisations Last updated: 4 July 2024"
MC-SPMED,"Majors, minors & specialisations Last updated: 4 July 2024"
MC-YOUTHMH,"Majors, minors & specialisations Last updated: 4 July 2024"
GC-CLINRHB,"Majors, minors & specialisations Last updated: 4 July 2024"
SC-CLINRHB,"Majors, minors & specialisations Last updated: 4 July 2024"
MC-CLINRHB,"Majors, minors & specialisations Last updated: 4 July 2024"
GD-SPMED,"Majors, minors & specialisations Last updated: 4 July 2024"
GC-YOUTHMH,"Majors, minors & specialisations Last updated: 4 July 2024"
MC-SPREHAB,"Majors, minors & specialisations Last updated: 4 July 2024"
GC-SPMED,"Majors, minors & specialisations Last updated: 4 July 2024"
PR-TREATY,"Majors, minors & specialisations Last updated: 5 July 2024"
MC-PHTYPAE,"Majors, minors & specialisations Last updated: 6 July 2024"
GD-PHTYPAE,"Majors, minors & specialisations Last updated: 6 July 2024"
MC-ENSYSEN,"Majors, minors & specialisations Last updated: 8 July 2024"
PR-POSED,"Majors, minors & specialisations Last updated: 9 July 2024"
PR-BUSANA,"Majors, minors & specialisations Last updated: 12 July 2024"
GD-BAOL,"Majors, minors & specialisations Last updated: 20 October 2024"
MC-ARCHENG,"Majors, minors & specialisations Last updated: 16 July 2024"
MC-BIOSENH,"Majors, minors & specialisations Last updated: 18 July 2024"
GD-BIOSTAT,"Majors, minors & specialisations Last updated: 18 July 2024"
991AA,"Majors, minors & specialisations Last updated: 18 July 2024"
GC-SURGED,"Majors, minors & specialisations Last updated: 20 July 2024"
GD-SURGED,"Majors, minors & specialisations Last updated: 20 July 2024"
MC-SURGED,"Majors, minors & specialisations Last updated: 20 July 2024"
GC-CNCRSC,"Majors, minors & specialisations Last updated: 23 July 2024"
SC-CNCRSC,"Majors, minors & specialisations Last updated: 23 July 2024"
MC-CNCRSC,"Majors, minors & specialisations Last updated: 23 July 2024"
MC-COMECO,"Majors, minors & specialisations Last updated: 24 July 2024"
GD-GENOHLT,"Majors, minors & specialisations Last updated: 24 July 2024"
PR-LANGASS,"Majors, minors & specialisations Last updated: 24 July 2024"
SC-NEOCARE,"Majors, minors & specialisations Last updated: 26 July 2024"
SC-CNCRNUR,"Majors, minors & specialisations Last updated: 26 July 2024"
SC-CCNURS,"Majors, minors & specialisations Last updated: 26 July 2024"
GC-PAEN,"Majors, minors & specialisations Last updated: 26 July 2024"
GC-CCNEM,"Majors, minors & specialisations Last updated: 26 July 2024"
GC-PAEICN,"Majors, minors & specialisations Last updated: 26 July 2024"
SC-PAEN,"Majors, minors & specialisations Last updated: 26 July 2024"
GC-NIC,"Majors, minors & specialisations Last updated: 26 July 2024"
GD-ECTCH,"Majors, minors & specialisations Last updated: 25 July 2024"
MC-UCH,"Majors, minors & specialisations Last updated: 25 July 2024"
GC-CLINUS,"Majors, minors & specialisations Last updated: 30 July 2024"
SC-CLINUS,"Majors, minors & specialisations Last updated: 30 July 2024"
SC-CLNLEAD,"Majors, minors & specialisations Last updated: 30 July 2024"
SC-CLINUSP,"Majors, minors & specialisations Last updated: 30 July 2024"
DR-PHILART,"Majors, minors & specialisations Last updated: 31 July 2024"
MC-EDEBT,"Majors, minors & specialisations Last updated: 1 August 2024"
SC-IMPSC,"Majors, minors & specialisations Last updated: 1 August 2024"
MC-HHS,"Majors, minors & specialisations Last updated: 1 August 2024"
SC-SERVNAV,"Majors, minors & specialisations Last updated: 23 October 2024"
GC-HHS,"Majors, minors & specialisations Last updated: 1 August 2024"
GC-NTCW,"Majors, minors & specialisations Last updated: 1 August 2024"
PR-EBT,"Majors, minors & specialisations Last updated: 1 August 2024"
SC-HHS,"Majors, minors & specialisations Last updated: 1 August 2024"
SC-ASW,"Majors, minors & specialisations Last updated: 1 August 2024"
SC-DHM,"Majors, minors & specialisations Last updated: 30 October 2024"
GD-ENVLAW,"Majors, minors & specialisations Last updated: 2 August 2024"
GD-MHNP,"Majors, minors & specialisations Last updated: 2 August 2024"
MC-ENVLAW,"Majors, minors & specialisations Last updated: 2 August 2024"
GD-CORPLAW,"Majors, minors & specialisations Last updated: 2 August 2024"
968AB,"Majors, minors & specialisations Last updated: 2 August 2024"
526AA,"Majors, minors & specialisations Last updated: 2 August 2024"
SC-LAWDT,"Majors, minors & specialisations Last updated: 2 August 2024"
GC-CCHLTH,"Majors, minors & specialisations Last updated: 4 August 2024"
891AA,"Majors, minors & specialisations Last updated: 6 August 2024"
SC-DHW,"Majors, minors & specialisations Last updated: 6 August 2024"
GC-DTM,"Majors, minors & specialisations Last updated: 9 August 2024"
GC-IRPRO,"Majors, minors & specialisations Last updated: 30 October 2024"
MC-BA,"Majors, minors & specialisations Last updated: 9 August 2024"
GD-DTM,"Majors, minors & specialisations Last updated: 9 August 2024"
MC-LEADDEV,"Majors, minors & specialisations Last updated: 9 August 2024"
MC-SOCW,"Majors, minors & specialisations Last updated: 11 October 2024"
MC-ARCHUCH,"Majors, minors & specialisations Last updated: 12 August 2024"
502CW,"Majors, minors & specialisations Last updated: 13 August 2024"
277AA,"Majors, minors & specialisations Last updated: 13 August 2024"
504AA,"Majors, minors & specialisations Last updated: 13 August 2024"
323AA,"Majors, minors & specialisations Last updated: 13 August 2024"
635AA,"Majors, minors & specialisations Last updated: 14 September 2024"
726AA,"Majors, minors & specialisations Last updated: 13 August 2024"
511AA,"Majors, minors & specialisations Last updated: 13 August 2024"
276AA,"Majors, minors & specialisations Last updated: 13 August 2024"
GD-LAWS,"Majors, minors & specialisations Last updated: 13 August 2024"
PR-LDSHIP,"Majors, minors & specialisations Last updated: 13 August 2024"
MC-PO,"Majors, minors & specialisations Last updated: 15 August 2024"
872BB,"Majors, minors & specialisations Last updated: 16 August 2024"
872AA,"Majors, minors & specialisations Last updated: 16 August 2024"
GC-IDEPI,"Majors, minors & specialisations Last updated: 16 August 2024"
178AA,"Majors, minors & specialisations Last updated: 30 October 2024"
MC-DMKTG,"Majors, minors & specialisations Last updated: 20 August 2024"
697AA,"Majors, minors & specialisations Last updated: 21 August 2024"
MC-IB,"Majors, minors & specialisations |*200pt Program, 150pt Program*| Prev: Course structure Next: Notes Last updated: 31 October 2024"
D-LANG,"Majors, minors & specialisations Specialisations are available in: |*Ancient Greek, Arabic Studies, Chinese Studies, French Studies, German Studies, Hebrew, Indonesian Studies, Italian Studies, Japanese Studies, Latin, Russian Studies, Spanish and Latin American Studies, Korean Studies*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
344AB,"Majors, minors & specialisations |*200pt Program, 150pt Program, 100pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
GDA-SCI,"Majors, minors & specialisations Areas of Study Students may select from the following areas of study: |*BioSciences, Earth Sciences*| |*Mathematics and Statistics, Physics*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-FILMTV,"Majors, minors & specialisations |*Filmmaking, Screen Producing*| Prev: Course structure Last updated: 31 October 2024"
BH-FA,"Majors, minors & specialisations |*Dance, Design and Production, Film and Television, Music Theatre, Theatre, Visual Art*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
BH-MEDSCI,"Majors, minors & specialisations Last updated: 31 October 2024"
MC-ARCH,"Majors, minors & specialisations Students entering the Master of Architecture from a cognate discipline with 100 points of advanced standing will undertake the 200 point program Semester 2 (mid-year) entry may be available to students with an undergraduate degree in Architecture, or with a cognate degree. Entry (with advanced standing) will be offered on a case by case basis. |*200pt Program*| Students entering the Master of Architecture from a non-cognate discipline will undertake the 300 point program. |*300pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
BH-ENVS,"Majors, minors & specialisations Honours programs available within the Bachelor of Environments (Honours) are managed through the Faculty of Science. |*Landscape Management, Environmental Geography*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-TCHECP,"Majors, minors & specialisations Master of Teaching (Early Childhood and Primary)- Stream |*Standard Mode, Extended Mode*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
BH-SCIADV,"Majors, minors & specialisations |*Animal Health and Disease, Animal Science and Management, Chemical Engineering Systems, Chemistry, Civil Engineering Systems, Climate and Weather, Data Science, Digital Infrastructure Engineering Systems, Ecology and Evolutionary Biology, Ecosystem Science, Environmental Engineering Systems, Environmental Science, Food Science, Geography, Geology, Immunology, Mathematics and Statistics, Infection and Immunity, Mechanical Engineering Systems, Mechatronics Engineering Systems, Microbiology, Neuroscience, Pathology, Pharmacology, Physics, Physiology, Plant Science, Psychology, Veterinary Bioscience, Zoology, Biochemistry and Molecular Biology, Agricultural Science, Cell and Developmental Biology, Computing and Software Systems, Biotechnology, Electrical Engineering Systems, Biomedical Engineering Systems, Genetics, Human Nutrition, Human Structure and Function, Marine Biology, Mathematical Physics*| Prev: Course structure Next: Further study Last updated: 9 October 2024"
MC-ENVENG,"Majors, minors & specialisations Master of Environmental Engineering- Specialisations |*Earth Observation, Energy Systems, Water Systems*| Prev: Course structure Last updated: 31 October 2024"
175AA,"Majors, minors & specialisations |*200pt Program, 150pt Program, 100pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-AGSC,"Majors, minors & specialisations Course entry points Course entry points are determined by an applicant's previous study, as noted in the course Entry Requirements. |*200pt Program, 150pt Program, 100pt (A) Program, 100pt (B) Program*| Note: 100pt (A) Program is the Honours Entry Pathway. Please refer to the 100pt (A) Program page for its specific rules. 100pt (B) Program is the Graduate Diploma Entry Pathway. Please refer to the 100pt (B) Program page for its specific rules. Specialisations in agricultural sciences Students select one of five specialisations in Agricultural Sciences as follows. All specialisations are available within all course entry point programs in the Master of Agricultural Sciences. Agribusiness Animal Science Crop and Soil Sciences Food Sustainability Agricultural Extension & Innovation Prev: Course structure Next: Notes Last updated: 9 October 2024"
GC-CCN,"Majors, minors & specialisations |*Integrated Critical Care, Intensive Care*| Prev: Course structure Last updated: 31 October 2024"
GC-ARTS,"Majors, minors & specialisations Specialisations |*Anthropology, Art History, Asian Studies, Classical Studies and Archaeology, Creative Writing, Criminology, Development Studies, Digital Studies*| |*English and Theatre Studies, French*| |*Gender Studies, Hebrew and Jewish Studies, History, History and Philosophy of Science, Indigenous Studies, Islamic Studies, Linguistics and Applied Linguistics, Media and Communications, Philosophy, Politics and International Studies, Screen and Cultural Studies, Sociology*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-INTJOUR,"Majors, minors & specialisations |*100pt Program, 150pt Program, 200pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-PROPUP,"Majors, minors & specialisations Last updated: 31 October 2024"
706AA,"Majors, minors & specialisations |*200pt Program, 150pt Program, 100pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-CMPROP,"Majors, minors & specialisations Students entering the Master of Construction Management/ Master of Property with completed undergraduate studies (specifically a double major in Construction and property) will commence with 100 points of advanced standing and undertake the 300 point program: |*300pt Program*| Students entering from a cognate discipline will undertake the 400 point program: |*400pt Program*| Prev: Course structure Next: Further study Last updated: 9 October 2024"
BH-MUS,"Majors, minors & specialisations |*Tailored Program, Performance, Composition, Musicology/Ethnomusicology, Interactive Composition, Jazz & Improvisation*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-LARCHUP,"Majors, minors & specialisations Last updated: 31 October 2024"
MC-TEACHEC,"Majors, minors & specialisations Master of Teaching (Early Childhood)- Streams Subjects are outlined within each of the Standard and Extended course modes below: |*Standard Mode, Extended Mode*| The Pre-2022 Students link below is for Teacher Candidates that commenced in 2021 (or 2020) only. |*Pre-2022 Students*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-TEACHPR,"Majors, minors & specialisations Master of Teaching (Primary)- Stream Subjects are outlined within each of the Standard and Extended modes below: |*Standard Mode, Extended Mode*| The Pre-2022 Students link below is a guide for continuing Teacher Candidates that commenced in 2021 (or earlier) only: |*Pre-2022 Students*| Prev: Course structure Next: Further study Last updated: 9 October 2024"
MC-TEACHSA,"Majors, minors & specialisations Subjects are outlined within each of the Standard, Accelerated and Extended course modes below. |*Standard Mode, Accelerated Mode, Extended Mode*| The Pre-2022 Students link below is a guide for continuing Teacher Candidates that commenced in 2021 (or earlier) only. |*Pre-2022 Students*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-TRANINT,"Majors, minors & specialisations Entry point programs |*200pt Program, 150pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-MGMT,"Majors, minors & specialisations |*150pt Program, 200pt Program*| Prev: Course structure Next: Notes Last updated: 31 October 2024"
MC-SCIMAT,"Majors, minors & specialisations |*Applied Mathematics and Mathematical Biology, Mathematical Physics and Physical Combinatorics, Operations Research and Industrial Optimisation, Pure Mathematics, Statistics and Stochastic Processes*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-ELECENG,"Majors, minors & specialisations |*Autonomous Systems, Business, Intelligent Networks and Communications, Electronics and Embedded Systems, Low Carbon Power Systems*| Prev: Course structure Last updated: 31 October 2024"
MC-BMEDSC,"Majors, minors & specialisations Last updated: 31 October 2024"
MC-URBHORT,"Majors, minors & specialisations Last updated: 31 October 2024"
GCA-ARTS,"Majors, minors & specialisations |*Ancient World Studies, Art History, Principles of Cultural Materials Conservation, Cultural Studies, Development Studies, English and Theatre Studies, French, Gender Studies, German, History, History and Philosophy of Science, Italian, Linguistics and Applied Linguistics, Media and Communications, Philosophy, Politics and International Studies*| |*Public Policy and Management, Screen Studies, Sociology*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-MGMTMKT,"Majors, minors & specialisations |*150pt Program, 200pt Program*| Prev: Course structure Next: Notes Last updated: 31 October 2024"
MC-ARCHUP,"Majors, minors & specialisations Last updated: 31 October 2024"
706AA,"Majors, minors & specialisations |*200pt Program, 150pt Program, 100pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-ARCLARC,"Majors, minors & specialisations Students entering the Master of Architecture/Master of Landscape Architecture with a double major in Architecture and Landscape Architecture with 100 points of advanced standing will undertake the 300 point program |*300pt Program*| Students entering the Master of Architecture/Master of Landscape Architecture from a cognate discipline will undertake 400 point program |*400pt Program*| Prev: Course structure Last updated: 31 October 2024"
GDA-ARTS,"Majors, minors & specialisations |*Ancient World Studies, Anthropology, Arabic Studies, Art History, Asian Studies*| |*Chinese Studies, Classics (Ancient Greek and Latin), Creative Writing, Criminology, Cultural Studies, English and Theatre Studies, French Studies, Gender Studies, German Studies, History, History and Philosophy of Science, Indigenous Studies, Indonesian Studies, Islamic Studies, Italian Studies, Japanese Studies, Linguistics and Applied Linguistics, Media and Communications, Philosophy, Politics and International Studies*| |*Public Policy and Management, Screen Studies, Sociology, Spanish and Latin American Studies*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
BH-ARTS,"Majors, minors & specialisations Specialisations Please note that some specialisations are not available in pure honours and must be taken in combination with another area - consult each area for more details. |*Ancient World Studies, Anthropology, Arabic Studies, Art History, Asian Studies, Chinese Studies, Classics (Ancient Greek and Latin)*| |*Creative Writing, Criminology, Economics, English and Theatre, French Studies, Gender Studies, Geography, German Studies, History, History and Philosophy of Science, Indigenous Studies, Indonesian Studies, Islamic Studies, Italian Studies, Japanese Studies, Media and Communications, Linguistics and Applied Linguistics, Philosophy, Politics and International Studies, Psychology, Russian Studies, Screen and Cultural Studies, Sociology, Spanish and Latin American Studies*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-ELECENG,"Majors, minors & specialisations |*Autonomous Systems, Business, Intelligent Networks and Communications, Electronics and Embedded Systems, Low Carbon Power Systems*| Prev: Course structure Last updated: 31 October 2024"
MC-SCIBIF,"Majors, minors & specialisations |*150pt Program, 200pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-APLING,"Majors, minors & specialisations All the following specialisations can be studied under one of three entry point programs: English Language Language Testing TESOL |*200pt Program, 150pt Program, 100pt Program*| Prev: Course structure Next: Further study Last updated: 9 October 2024"
MC-CAT,"Majors, minors & specialisations |*Drama Therapy, Dance Movement Therapy*| Prev: Course structure Last updated: 31 October 2024"
MC-IT,"Majors, minors & specialisations All the following specialisations can be studied under one of three entry point programs: Artificial Intelligence Computing Cyber Security Distributed Computing Human-Computer Interaction Digital Innovation |*200pt Program, 150pt Program, 100pt Program*| Prev: Course structure Next: Further study Last updated: 9 October 2024"
MC-LI,"Majors, minors & specialisations |*Disability, Deaf Education, Learning Difficulties*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-JOURN,"Majors, minors & specialisations |*200pt Program, 150pt Program, 100pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-GMCOM,"Majors, minors & specialisations |*200pt Program, 150pt Program, 100pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-MKTCOMM,"Majors, minors & specialisations |*150pt Program, 200pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-MUSPT,"Majors, minors & specialisations |*Instrumental, Studio*| Prev: Course structure Last updated: 31 October 2024"
GDA-ACM,"Majors, minors & specialisations Last updated: 22 August 2024"
MR-ARTSTHS,"Majors, minors & specialisations |*Ancient World Studies, Anthropology, Applied Philosophy, Arabic, Archaeology, Art History, Australian Studies, Chinese, Classics, Criminology, Cultural Studies, Cultural Materials Conservation, Creative Writing, Development Studies, English Language, French Language and Literature, Gender Studies, German, History, History and Philosophy of Science, Indonesian, Islamic Studies, Italian, Japanese, Jewish Studies, Journalism, Linguistics, Media and Communications, Philosophy, Political Science, Russian Studies, Screen Studies, Socio-Legal Studies, Social Theory, Spanish, Theatre Studies*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
BH-SCI,"Majors, minors & specialisations Honours Programs available within the Bachelor of Science (Degree with Honours) Honours programs are grouped by the responsible Faculty/organisational unit. Faculty of Science |*BioSciences, Chemistry, Earth Sciences, Ecosystem Science, Geography, Agricultural Science, Animal Science and Management, Food Science, Human Nutrition, Veterinary Bioscience*| Faculty of Medicine, Dentistry and Health Sciences Each honours project is offered by one of the following departments / institutes. Some projects are offered within multiple departments / institutes. Please refer to the MDHS Honours website for full details on selecting a project. Students in these specialisations will have the opportunity to apply for an optional internship elective subject to be completed after submission of their thesis. Internship opportunities are dependent upon availability and are competitive. Please refer to the following HLTH40001 MDHS Honours Elective Internship page for more information. |*HLTH40001*| |*Anatomy and Physiology, and Neuroscience, Biochemistry and Pharmacology, Clinical Pathology, Medical Biology, Medicine (Austin Health), Medicine (Royal Melbourne Hospital), Medicine (St Vincent's Hospital), Medicine (Western Health), Microbiology and Immunology, Oral Health Science, Otolaryngology, Paediatrics, Pathology, Physiotherapy Science, Population and Global Health, General Practice and Primary Care, Optometry and Vision Sciences*| Psychological Sciences |*Psychology*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-ARCHCM,"Majors, minors & specialisations Students entering the Master of Architecture /Construction Management with completed undergraduate studies with a double major in Architecture and Construction, will commence with 100 points of advanced standing and undertake the 300 point program: |*300pt Program*| Students entering from a cognate discipline will undertake the 400 point program: |*400pt Program*| Prev: Course structure Last updated: 9 October 2024"
MC-BIOMENG,"Majors, minors & specialisations Master of Biomedical Engineering- Specialisations |*Business*| Prev: Course structure Last updated: 31 October 2024"
097AB,"Majors, minors & specialisations |*200pt Program - Development Studies, 200pt Program - Gender and Development, 150pt Program - Development Studies, 150pt Program - Gender and Development, 100pt Program - Development Studies, 100pt Program - Gender and Development*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-CULMC,"Majors, minors & specialisations |*200pt Program, 150pt Program, 100pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-MGMTACT,"Majors, minors & specialisations |*150pt Program, 200pt Program*| Prev: Course structure Next: Notes Last updated: 31 October 2024"
MC-IS,"Majors, minors & specialisations Last updated: 31 October 2024"
MC-SCIBIT,"Majors, minors & specialisations Last updated: 27 August 2024"
MC-LARCHUD,"Majors, minors & specialisations Last updated: 31 October 2024"
MC-MUSOP,"Majors, minors & specialisations |*Singer, Repetiteur*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
GD-SC,"Majors, minors & specialisations |*Applied Mathematics, Chemistry, Discrete Mathematics / Operations Research, Genetics, Geology, Human Geography, Integrated Geography, Medicinal Chemistry, Plant Science, Physical Geography, Physics, Pure Mathematics, Statistics / Stochastic Processes, Zoology*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
D01LF,"Majors, minors & specialisations |*200pt Program, 150pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-INTEDIB,"Majors, minors & specialisations Specialisations Students must complete at least one specialisation, each consisting of 25 points of study: |*Diploma Programme, Middle Years Programme, Primary Years Programme*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-PROP,"Majors, minors & specialisations Students entering the Master of Master of Property from a cognate discipline with 100 points of advanced standing will undertake the 200 point program. Semester 2 (mid-year) entry may be available to students with an undergraduate degree in Master of Property, or with a cognate degree. Entry (with advanced standing) will be offered on a case by case basis. Students entering the Master of Master of Property from a non-cognate discipline will undertake the 300 point program. |*300pt Program, 200pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
038AB,"Majors, minors & specialisations |*200pt Program, 150pt Program, 100pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-LARCH,"Majors, minors & specialisations Students entering the Master of Landscape Architecture from a cognate discipline with 100 points of advanced standing will undertake the 200 point program Semester 2 (mid-year) entry may be available to students with an undergraduate degree in Landscape Architecture, or with a cognate degree. Entry (with advanced standing) will be offered on a case by case basis. |*300pt Program*| Students entering the Master of Landscape Architecture from a non-cognate discipline will undertake the 300 point program. |*200pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-EMA,"Majors, minors & specialisations |*200pt Program (2 years full-time), 200pt Program (1.5 years accelerated), 150pt Program (1.5 years full-time), 100pt Program (1 year full-time)*| Prev: Course structure Last updated: 31 October 2024"
MR-ARTSAST,"Majors, minors & specialisations Specialisations |*Philosophy*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-CONTCS,"Majors, minors & specialisations |*200pt Program, 150pt Program, 100pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
761EM,"Majors, minors & specialisations |*Change Management, Project Management*| Prev: Course structure Next: Notes Last updated: 31 October 2024"
MC-DINFENG,"Majors, minors & specialisations |*Artificial Intelligence, Business, Communication Infrastructure, Construction, Energy, Industry, Information Systems, Information Technology, Land, Mobility, Smart Cities, Sustainable Cities, Water, Cultural Heritage*| Prev: Course structure Last updated: 31 October 2024"
GD-ARTS,"Majors, minors & specialisations Specialisations |*Anthropology, Arabic Studies*| |*Art History, Asian Studies, Chinese Studies*| |*Classical Studies and Archaeology, Classics (Ancient Greek and Latin), Creative Writing, Criminology, Digital Studies, English and Theatre Studies, French Studies*| |*Gender Studies, German Studies*| |*Hebrew and Jewish Studies, History, History and Philosophy of Science, Indigenous Studies, Indonesian Studies*| |*Islamic Studies, Italian Studies*| |*Japanese Studies*| |*Linguistics and Applied Linguistics, Media and Communications, Philosophy, Politics and International Studies, Russian Studies*| |*Screen and Cultural Studies, Sociology, Spanish and Latin American Studies*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
ME-DCD,"Majors, minors & specialisations |*Endodontics, Oral Medicine, Orthodontics, Paediatric Dentistry, Periodontics, Prosthodontics, Special Needs Dentistry*| Prev: Course structure Last updated: 31 October 2024"
MC-ED,"Majors, minors & specialisations Master of Education Specialisations Students who wish to obtain a specialisation must complete 4 Specialisation subjects as prescribed in that area, totalling 50 points. Subjects listed under specialisations may also be taken as single elective subjects. |*Arts Education, Assessment and Pedagogy, Equity, Diversity and Social Change, Policy in a Global Context, Leadership and Management, Literacy Education, Mathematics and Science Education, Student Wellbeing*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
GC-SC,"Majors, minors & specialisations |*Applied Mathematics*| |*Chemistry*| |*Discrete Mathematics / Operations Research*| |*Genetics*| |*Geology*| |*Human Geography*| |*Integrated Geography*| |*Medicinal Chemistry*| |*Plant Science, Physical Geography*| |*Physics*| |*Pure Mathematics, Statistics / Stochastic Processes, Zoology*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-MECHENG,"Majors, minors & specialisations |*Aerospace, Business, Manufacturing, Materials*| Prev: Course structure Last updated: 31 October 2024"
MC-ARCHUD,"Majors, minors & specialisations Last updated: 31 October 2024"
274AB,"Majors, minors & specialisations |*200pt Program, 150pt Program, 100pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-APPDA,"Majors, minors & specialisations Last updated: 31 October 2024"
MC-PUBCOM,"Majors, minors & specialisations |*200pt Program, 150pt Program, 100pt Program*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-CHEMENG,"Majors, minors & specialisations Master of Chemical Engineering- Specialisations |*Business, Materials and Minerals, Sustainability and Environment*| Prev: Course structure Last updated: 31 October 2024"
MC-SOFTENG,"Majors, minors & specialisations |*Artificial Intelligence, Business, Cyber Security, Distributed Computing, Human Computer Interaction*| Prev: Course structure Last updated: 31 October 2024"
BH-DES,"Majors, minors & specialisations The degree offers three specialisations: |*Architectural History, Theory and Criticism, Urban Planning, Landscape Architecture*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
MC-CM,"Majors, minors & specialisations All the following specialisations can be studied under one of two entry point programs: Building Cost Management Project Management * Students entering the Master of Construction Management from a cognate discipline with 100 points of advanced standing will undertake the 200 point program Semester 2 (mid-year) entry may be available to students with an undergraduate degree in Construction Management, or with a cognate degree. Entry (with advanced standing) will be offered on a case by case basis. |*200pt Program*| * Students entering the Master of Construction Management from a non-cognate discipline will undertake the 300 point program. |*300pt Program*| Prev: Course structure Next: Further study Last updated: 9 October 2024"
