Subject Code,Prerequisites,Corequisites,Non-allowed Subjects
MUST30016,Prerequisites All of Code Name Teaching period Credit Points MUST30014 Music Theatre Studio 5 Semester 1 (Early-Start) (On Campus - Southbank) 12.5 MUST30015 Production Studio 1 Semester 1 (Early-Start) (On Campus - Southbank) 25,None,None
ABPL90331,Prerequisites Admission into one of the following: MC-ARCH Master of Architecture MC-LARCH Master of Landscape Architecture MC-CM Master of Construction Management MC-PROP Master of Property MC-ARCHCM Master of Architecture/Master of Construction Management MC-CMPROP Master of Construction Management/Master of Property OR Approval from the subject coordinator.,None,None
MUST20014,Prerequisites All of Code Name Teaching period Credit Points MUST20012 Music Theatre Combination Skills 1 Semester 1 (Early-Start) (On Campus - Southbank) 12.5 MUST20013 Music Theatre Studio 3 Semester 1 (Early-Start) (On Campus - Southbank) 25,None,MUST20006 Music Theatre Combination Class 3
BMEN90041,"Prerequisites The Summer Research Project is intended to be taken where possible in the final year of the candidature, but early enough so that students can use this to help them decide whether they wish to apply for PhD study. 

This subject has the prerequisites of:
•	Having completed at least 100 points of the Masters degree at time of enrolment 
•	Having an average WAM of 75 or above for Masters. 
•	Having secured the explicit approval and agreement of an Academic Supervisor for this subject",N/A,N/A
ABPL90274,Prerequisites Admission into or selection of one of the following: 300pt Program course entry point in the MC-PROP Master of Property 400pt Program course entry point in the MC-PROPUP Master of Property/Master of Urban Planning OR Admission into the 702PA Graduate Diploma in Property Valuation OR 400pt Program Course entry in the MC-ARCPROP ( Master of Architecture / Master of Property -  Architecture background) OR 400pt  Program Course entry in the MC-CMPROP ( Master of Construction Management/Master of Property - Construction  background) OR A course at the Melbourne School of Design OR Approval from the subject coordinator. Note: This subject is not available to any students who are admitted in the MC-PROP2Y-200 point /MC-PROP (200 point) or equivalent valuation studies.,None,None
MAST30034,Prerequisites Code Name Teaching period Credit Points COMP30027 Machine Learning Semester 1 (On Campus - Parkville) 12.5 MAST30025 Linear Statistical Models Semester 1 (On Campus - Parkville) 12.5,,
CRIM90013,"Prerequisites Admission into the SC-CRIMFD Specialist Certificate in Criminology (Forensic Disability) Note: This is a MSPACE subject and has limited capacity in enrolment. 274AB Master of Criminology students may apply if there is capacity. Available enrolment will be announced via CANVAS. Master of Criminology students are expected to submit a 100 word statement outlining the reasons for willing to undertake this subject, and further selection will be done by the subject coordinator in conjunction with the Director of the Master of Criminology based on these statements. AND Code Name Teaching period Credit Points CRIM90012 Introduction to Forensic Disability March (On Campus - Parkville) 12.5",None,None
DRAM90021,Prerequisites None,None,None
PHYC30023,Prerequisites Students are required to meet both Physics and Mathematics prerequisites below Physics: Code Name Teaching period Credit Points PHYC20015 Special Relativity and Electromagnetism Semester 2 (On Campus - Parkville) 12.5 Mathematics: One of Code Name Teaching period Credit Points MAST20009 Vector Calculus Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 MAST20032 Vector Calculus: Advanced Semester 1 (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points MAST20026 Real Analysis Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 MAST20030 Differential Equations Semester 2 (On Campus - Parkville) 12.5 PHYC20014 Theoretical Physics 2 Semester 2 (On Campus - Parkville) 12.5 MAST20033 Real Analysis: Advanced Semester 1 (On Campus - Parkville) 12.5,None,None
PATH40005,Prerequisites Code Name Teaching period Credit Points PATH40001 Pathology Research Project Part 1 Semester 1 (On Campus - Parkville) 25,None,None
CLRS90029,Prerequisites None,None,None
SOCI90010,Prerequisites Admission into one of the following: MC-IR Master of International Relations 097AB Master of Development Studies 097GD Master of Development Studies (Gender and Development) MC-PA Master of Public Administration MC-PAENH Master of Public Administration (Enhanced) 344AB Master of Public Policy and Management,None,None
PHYC90052,Prerequisites,,
CHEM90036,Prerequisites None,None,None
SWEN90009,Prerequisites All of Code Name Teaching period Credit Points SWEN30006 Software Modelling and Design Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 SWEN90016 Software Processes and Management Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 Note: these can be taken concurrently (at the same time),None,None
ANSC90004,Prerequisites,,
BINF90004,Prerequisites MC-SCIBIF Students: Completion of at least 50 credit points of Master of Science (Bioinformatics) MC-COMPBIO students: Completion of at least 50 credit points of Master of Computational Biology AND Code Name Teaching period Credit Points COMP90059 Introduction to Programming Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5,None,None
FLTV40007,Prerequisites Admission into the Film and Television specialisation (formal) in the BH-FA Bachelor of Fine Arts (Degree with Honours),None,None
MIIM40006,Prerequisites Code Name Teaching period Credit Points MIIM40005 Micro & Immuno Research Project Part 1 Semester 1 (On Campus - Parkville) 25,None,None
MAST10017,Prerequisites None,None,None
ORAL40002,Prerequisites This subject forms 50 points of a 75 point research project required for completion of the BOH Hons degree and as such is not a stand alone subject. It must be undertaken as follow on from Oral Health Research Project 4A (25 credit points) to enable completion of the degree. All of Code Name Teaching period Credit Points BIOM40001 Introduction To Biomedical Research July (On Campus - Parkville) February (On Campus - Parkville) 12.5 DENT40003 Advances in Oral Health Research Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 ORAL40001 Oral Health Research Project 4A Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 25,None,None
ABPL90067,"Prerequisites Students must meet one of the following prerequisite options: Option 1 Admission into the MC-UCH Master of Urban and Cultural Heritage AND Approval from course coordinator Option 2 Admission into the MC-URBDES Master of Urban Design AND Completion of a minimum of 150 credit points of study, inclusive of Code Name Teaching period Credit Points ABPL90017 Urban Design Theory Semester 1 (On Campus - Parkville) 12.5 Option 3 Admission into any other MSD Masters by coursework program AND Approval from the course coordinator AND Code Name Teaching period Credit Points ABPL90135 Analytical Methods Semester 1 (On Campus - Parkville) 12.5 NOTE: In addition to meeting the required prerequisites, students who wish to enrol in this subject, should find a supervisor first and get approval from the course coordinator.",None,ABPL90067 Research Project B
EURO40003,Prerequisites Only students admitted to the Graduate Diploma (Advanced) or fourth-year honours in an area of language studies or linguistics and applied linguistics may enrol in this subject. NOTE: Students cannot enrol in this subject without prior permission from the discipline chair. Students should seek permission to enrol no later than two weeks before the beginning of the semester. Students enrolling to undertake the genre subject in Semester 2 are able to do so without prior permission.,None,None
FLTV90034,Prerequisites Code Name Teaching period Credit Points FLTV90028 Managing Screen Projects Not available in 2024 12.5 FLTV90029 Screen Craft Not available in 2024 12.5,None,None
BUSA90502,Prerequisites Code Name Teaching period Credit Points BUSA90501 Advanced Business Analytics July (On Campus - Parkville) 37.5,None,CodeNameTeaching periodCredit PointsBUSA90504Individual Research ProjectAugust (On Campus - Parkville)25
ABPL90323,Prerequisites Code Name Teaching period Credit Points ABPL90334 Means and Methods in Construction Semester 1 (On Campus - Parkville) 12.5,None,None
ARTS90022,Prerequisites None,None,None
FNCE90042,Prerequisites Admission into the MC-COMFIN Master of Commerce (Finance),None,None
DRAM20033,Prerequisites All of Code Name Teaching period Credit Points DRAM10034 Contextual Studies 2 Semester 2 (On Campus - Southbank) 12.5 DRAM10035 Performance Preparation 2 Semester 2 (On Campus - Southbank) 25,None,None
ABPL90016,Prerequisites One of Code Name Teaching period Credit Points ABPL90011 Advanced Property Analysis Semester 2 (On Campus - Parkville) 12.5 ABPL40008 Facility Management,None,None
BIOL90010,Prerequisites One of Code Name Teaching period Credit Points BIOL90004 BioSciences Research Project Part 1 Semester 2 (Extended) (On Campus - Parkville) Semester 1 (Extended) (On Campus - Parkville) 12.5 BIOL90005 BioSciences Research Project Part 1 Semester 2 (Extended) (On Campus - Parkville) Semester 1 (Extended) (On Campus - Parkville) 25 BIOL90006 BioSciences Research Project Part 1 Semester 1 (Extended) (On Campus - Parkville) Semester 2 (Extended) (On Campus - Parkville) 37.5 BIOL90007 BioSciences Research Project Part 1 Semester 2 (Extended) (On Campus - Parkville) Semester 1 (Extended) (On Campus - Parkville) 50,None,None
LING40004,"Prerequisites If not admitted to the Bachelor of Arts (Honours), the Graduate Diploma in Arts (Advanced), or the Graduate Certificate in Arts (Advanced) in Linguistics and Applied Linguistics, students must contact the subject coordinator prior to enrolling in this subject. In particular years, depending on the nature of the advanced topic, students may be recommended to have completed an introductory subject relevant to this topic.",None,None
MAST20032,"Prerequisites One of Code Name Teaching period Credit Points MAST10006 Calculus 2 Summer Term (On Campus - Parkville) Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 MAST10009 Accelerated Mathematics 2 Semester 2 (On Campus - Parkville) 12.5 MAST10021 Calculus 2: Advanced Semester 2 (On Campus - Parkville) 12.5 MAST10019:	

Calculus Extension Studies (with a mark of at least 75 for MAST10006 or MAST10019) AND One of Code Name Teaching period Credit Points MAST10007 Linear Algebra Summer Term (On Campus - Parkville) Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 MAST10008 Accelerated Mathematics 1 Semester 1 (On Campus - Parkville) 12.5 MAST10022 Linear Algebra: Advanced Semester 1 (On Campus - Parkville) 12.5 MAST10018:	

Linear Algebra Extension Studies (with a mark of at least 75 for MAST10007 or MAST10018)",None,CodeNameTeaching periodCredit PointsMAST20009Vector CalculusSemester 2 (On Campus - Parkville)Semester 1 (On Campus - Parkville)12.5
DRAM10033,Prerequisites None,None,None
PATH30001,Prerequisites B. Science students: All of Code Name Teaching period Credit Points BCMB20002 Biochemistry and Molecular Biology Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 PATH20001 Exploring Human Disease Semester 1 (On Campus - Parkville) 12.5 B. Biomedicine students: Code Name Teaching period Credit Points BIOM20001 Molecular and Cellular Biomedicine Semester 1 (On Campus - Parkville) 25,None,None
DEVT90079,Prerequisites None,None,"MULT90058 Conflict, Security and Development"
FRST90015,Prerequisites,,
MEDI90129,Prerequisites None,None,CodeNameTeaching periodCredit PointsMEDI90049Principles of Ultrasound Heart ScanSemester 1 (Online)Semester 2 (Online)12.5
BIOL90031,Prerequisites Code Name Teaching period Credit Points BIOL90029 BioSciences Minor Research Project Part1 Semester 1 (Extended) (On Campus - Parkville) Semester 2 (Extended) (On Campus - Parkville) 25,None,None
VETS90139,Prerequisites Code Name Teaching period Credit Points VETS90132 Veterinary Professional Practice 1 Semester 1 (On Campus - Parkville) 6.25,"All students are to enrol into the following corequisite subjects, unless directed by the Faculty of Veterinary and Agricultural Sciences:",None
SWEN90007,Prerequisites Code Name Teaching period Credit Points SWEN30006 Software Modelling and Design Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points SWEN90016 Software Processes and Management Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 SWEN90003 IT Project Management SWEN90008 Software Processes and Management,None,SWEN90002 Engineering for Internet Applications
ELEN90064,"Prerequisites Code Name Teaching period Credit Points ELEN90055 Control Systems Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 (prior to 2011, ELEN30001 Control 1 OR MCEN30008 Control Systems 1)",None,ELEN40007 Control 2 (Advanced Control)
ARTS90014,Prerequisites None,None,None
PADM90005,Prerequisites Admission into one of the following: MC-PA Master of Public Administration MC-PAENH Master of Public Administration (Enhanced) GCA-PA Graduate Certificate in Public Administration (Advanced) SC-PA Specialist Certificate in Public Administration,None,None
ELEN90060,Prerequisites Code Name Teaching period Credit Points ELEN90074 Introduction to Power Engineering Semester 1 (On Campus - Parkville) 12.5,None,None
FREN40003,Prerequisites Admission into or selection of one of the following: GDA-ARTS Graduate Diploma in Arts (Advanced) French Studies specialisation (formal) in the BH-ARTS Bachelor of Arts (Degree with Honours),None,None
CREA90001,Prerequisites,,
MUSI40091,Prerequisites Code Name Teaching period Credit Points MUSI40092 Music Management and Enterprise Semester 1 (On Campus - Southbank) 12.5,None,None
ACCT90014,Prerequisites All of Code Name Teaching period Credit Points ACCT90012 Corporate Reporting Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 ACCT90030 Information Processes & Control Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5,None,None
SCRN40006,Prerequisites None,None,"Students who have previously completed 107-440 Hitchcock, Film and Art are not eligible to enrol in this subject."
ECON90052,Prerequisites All of Code Name Teaching period Credit Points ECON90002 Microeconomics Semester 1 (On Campus - Parkville) 12.5 ECON90003 Macroeconomics Semester 1 (On Campus - Parkville) 12.5 AND Approval of the Department of Economics Postgraduate Program Director.,None,None
PSYC30023,Prerequisites None,None,None
RADI90016,Prerequisites Code Name Teaching period Credit Points RADI90015 Minor Thesis (Radiology) Part 1 No longer available,None,CodeNameTeaching periodCredit PointsRADI90003Minor Thesis (Radiology)No longer available
LING90016,Prerequisites None,None,CodeNameTeaching periodCredit PointsLING20011Grammar of EnglishSemester 1 (On Campus - Parkville)12.5
ELEN90075,Prerequisites One of Code Name Teaching period Credit Points ELEN90074 Introduction to Power Engineering Semester 1 (On Campus - Parkville) 12.5 ELEN90069 Electrical Power Systems Semester 1 (On Campus - Parkville) 12.5 AND Code Name Teaching period Credit Points ELEN90055 Control Systems Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5,,
ENEN90040,Prerequisites Admission into or selection of one of the following: MC-ENVSC Master of Environmental Science MC-GEOG Master of Geography MC-ENSYSEN Master of Environmental Systems Engineering Earth Observation specialisation (formal) in the MC-ENVENG Master of Environmental Engineering Energy Systems specialisation (formal) in the MC-ENVENG Master of Environmental Engineering Water Systems specialisation (formal) in the MC-ENVENG Master of Environmental Engineering Business specialisation (formal) in the MC-CIVENG Master of Civil Engineering Energy specialisation (formal) in the MC-CIVENG Master of Civil Engineering Structural specialisation (formal) in the MC-CIVENG Master of Civil Engineering OR Code Name Teaching period Credit Points ENEN20002 Earth Processes for Engineering Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5,None,None
VETS30016,"Prerequisites Permission of the Faculty of Science is required to enrol into this subject. Enrolment is limited to BSc students who have been selected into the Veterinary Bioscience major, leading to articulation into the Doctor of Veterinary Medicine. Students must have successfully completed the following subjects: Code Name Teaching period Credit Points VETS20019 Frontiers in Veterinary Science Semester 1 (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points BCMB20002 Biochemistry and Molecular Biology Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 BIOM20001 Molecular and Cellular Biomedicine Semester 1 (On Campus - Parkville) 25 AGRI20043 Biochemistry in Agricultural Systems Semester 1 (On Campus - Parkville) 12.5",Students must also be enrolled inCodeNameTeaching periodCredit PointsVETS30029Veterinary Bioscience: Cells to SystemsSemester 1 (On Campus - Parkville)12.5VETS30030Introduction to Professional PracticeSemester 1 (On Campus - Parkville)12.5VETS30031Animal Production Systems 1Semester 1 (On Campus - Parkville)12.5,None
EURO40001,Prerequisites None,None,None
BIOL90029,Prerequisites None,None,None
CHEN90026,"Prerequisites Admission into or selection of one of the following: MC-CHEMENG Master of Chemical Engineering Chemical specialisation (formal) in the MC-ENG Master of Engineering Chemical with Business specialisation (formal) in the MC-ENG Master of Engineering AND Completion of a minimum of 125 credit points of study towards the 300 point degree. This is inclusive of any advanced standing (i.e. For example, 100 points of advanced standing would only require a student to have completed 25 points of credit before enrolling).",None,CodeNameTeaching periodCredit PointsBIEN90001Biochemical Engineering Research ProjectNo longer availableCHEN90023Chemical Engineering Research ProjectSummer Term (On Campus - Parkville)Semester 2 (On Campus - Parkville)Semester 1 (On Campus - Parkville)25
VETS30031,"Prerequisites Permission of the Faculty of Science is required to enrol into this subject. Enrolment is limited to BSc students who have been selected into the Veterinary Bioscience major, leading to articulation into the Doctor of Veterinary Medicine. Students must have successfully completed the following subjects: Code Name Teaching period Credit Points VETS20019 Frontiers in Veterinary Science Semester 1 (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points BCMB20002 Biochemistry and Molecular Biology Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 BIOM20001 Molecular and Cellular Biomedicine Semester 1 (On Campus - Parkville) 25 AGRI20043 Biochemistry in Agricultural Systems Semester 1 (On Campus - Parkville) 12.5",All ofCodeNameTeaching periodCredit PointsVETS30016Veterinary Bioscience: Digestive SystemSemester 1 (On Campus - Parkville)12.5VETS30029Veterinary Bioscience: Cells to SystemsSemester 1 (On Campus - Parkville)12.5VETS30030Introduction to Professional PracticeSemester 1 (On Campus - Parkville)12.5,None
MAST90072,Prerequisites None,None,None
FNCE90011,Prerequisites Students must meet one of the following prerequisite options: Option 1 Admission into or selection of one of the following: MC-FINANCE Master of Finance MC-FINENH Master of Finance (Enhanced) GD-FINANCE Graduate Diploma in Finance OR Postgraduate Diploma in Finance Option 2 All of Code Name Teaching period Credit Points FNCE90018 Corporate Financial Policy Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 FNCE90056 Investment Management Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 AND Admission into or selection of one of the following: MC-MGMT Master of Management MC-MGMTFIN Master of Management (Finance) MC-MGMTAFN Master of Management (Accounting and Finance),None,None
SOCI40007,Prerequisites Code Name Teaching period Credit Points SOCI40006 Sociology Thesis Part 1 Semester 1 (On Campus - Parkville) 25,None,SOCI40005 Sociology Thesis
ENGM90017,Prerequisites None,None,None
BUSA90244,Prerequisites None,None,None
SCIE90030,Prerequisites Admission into the MC-COMPBIO Master of Computational Biology AND An average of at least 80% in associated coursework in the Master of Computational Biology; and agreement of a supervisor. Enrolment in second semester of this subject is dependent on successful completion of first semester.,None,None
DENT90113,Prerequisites None,None,None
MUSI40075,Prerequisites None,None,None
ASIA90016,Prerequisites Code Name Teaching period Credit Points No longer available Code Name Teaching period Credit Points No longer available Code Name Teaching period Credit Points No longer available,None,None
CHIN30029,Prerequisites None,None,None
ACTL90007,Prerequisites Code Name Teaching period Credit Points ACTL90006 Life Insurance Models I Semester 1 (On Campus - Parkville) 12.5,None,None
POPH90299,Prerequisites,,
BINF90009,Prerequisites None,None,None
BTCH90011,Prerequisites None,None,None
ARTS90041,Prerequisites Students must obtain the Subject Coordinator's approval to enrol in this subject.,CodeNameTeaching periodCredit PointsARTS90040Advanced Linguistics Analysis ASemester 1 (On Campus - Parkville)Semester 2 (On Campus - Parkville)6.25,LING90032 Advanced Linguistics Analysis B
PHTY90093,Prerequisites None,None,None
CWRI40018,Prerequisites None,None,None
FLTV90033,Prerequisites Code Name Teaching period Credit Points FLTV90031 Show Business of Creative Producing Not available in 2024 12.5,None,None
FLTV70042,Prerequisites None,None,None
OPTO90035,Prerequisites Code Name Teaching period Credit Points OPTO90034 Research Project B (VisionSci) Part 1 Semester 2 (Extended) (On Campus - Parkville) Semester 1 (Extended) (On Campus - Parkville) 37.5,None,None
LING90012,Prerequisites None,None,None
PSYC30023,Prerequisites None,None,None
RADI90016,Prerequisites Code Name Teaching period Credit Points RADI90015 Minor Thesis (Radiology) Part 1 No longer available,None,CodeNameTeaching periodCredit PointsRADI90003Minor Thesis (Radiology)No longer available
MUSI90233,Prerequisites Code Name Teaching period Credit Points MUSI90231 Core Skills In Opera 1 Semester 1 (On Campus - Southbank) 18.75,None,None
ERTH90044,Prerequisites None,None,None
BIOL90015,Prerequisites One of Code Name Teaching period Credit Points BIOL90008 BioSciences Research Project Part 2 Semester 2 (Extended) (On Campus - Parkville) Semester 1 (Extended) (On Campus - Parkville) 12.5 BIOL90009 BioSciences Research Project Part 2 Semester 1 (Extended) (On Campus - Parkville) Semester 2 (Extended) (On Campus - Parkville) 25 BIOL90010 BioSciences Research Project Part 2 Semester 2 (Extended) (On Campus - Parkville) Semester 1 (Extended) (On Campus - Parkville) 37.5 BIOL90011 BioSciences Research Project Part 2 Semester 2 (Extended) (On Campus - Parkville) Semester 1 (Extended) (On Campus - Parkville) 50,None,None
GEOG90015,Prerequisites None,None,None
CVEN90026,Prerequisites None,None,None
ECOM90021,Prerequisites Code Name Teaching period Credit Points ECOM90022 Research Methods Semester 1 (On Campus - Parkville) 12.5,None,None
PHYC90013,Prerequisites Code Name Teaching period Credit Points PHYC30018 Quantum Physics Semester 1 (On Campus - Parkville) 12.5 AND Code Name Teaching period Credit Points PHYC30017 Statistical Physics Semester 2 (On Campus - Parkville) 12.5 Or equivalent.,None,None
AHIS30024,Prerequisites None,None,None
MAST90134,Prerequisites All of Code Name Teaching period Credit Points MAST90130 Critical Thinking with Analytics Term 3 (Online) Term 1 (Online) 12.5 MAST90135 Foundations of Analytics Term 4 (Online) 12.5 POPH90295 Designing Analytics Investigations Not available in 2024 12.5,None,None
MUSI10232,Prerequisites Code Name Teaching period Credit Points MUSI10231 Composition 1 Semester 1 (On Campus - Southbank) 12.5,None,None
HPSC90013,Prerequisites None,None,None
FOOD40001,Prerequisites None,None,None
CVEN90050,Prerequisites All of Code Name Teaching period Credit Points CVEN30010 Geotechnical Modelling and Design Semester 2 (On Campus - Parkville) 12.5 ENEN20002 Earth Processes for Engineering Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 Or equivalent,None,None
ASIA90017,Prerequisites None,None,None
ECOM40006,"Prerequisites Admission into BH-COM, BH-ARTS (Economics), Graduate Diploma in Economics or Master of Economics AND Code Name Teaching period Credit Points ECOM30002 Econometrics 2 Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5",None,Students may not gain credit for bothCodeNameTeaching periodCredit PointsECOM40006Econometrics 3Semester 1 (On Campus - Parkville)12.5andCodeNameTeaching periodCredit PointsECOM90013Econometrics 3Semester 1 (On Campus - Parkville)12.5.
ANSC30006,Prerequisites One of Code Name Teaching period Credit Points AGRI20043 Biochemistry in Agricultural Systems Semester 1 (On Campus - Parkville) 12.5 BCMB20002 Biochemistry and Molecular Biology Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 BIOM20001 Molecular and Cellular Biomedicine Semester 1 (On Campus - Parkville) 25 AND One of Code Name Teaching period Credit Points AGRI20044 Microbiology in Agriculture Semester 1 (On Campus - Parkville) 12.5 MIIM20001 Principles of Microbiology & Immunology Semester 1 (On Campus - Parkville) 12.5,None,None
FLTV90032,Prerequisites None,None,None
MEDI90145,Prerequisites All of Code Name Teaching period Credit Points MEDI90129 Clinical Ultrasound - Core Concepts Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 6.25 Note: these can be taken concurrently (at the same time),None,None
ANSC30001,Prerequisites One of Code Name Teaching period Credit Points AGRI20043 Biochemistry in Agricultural Systems Semester 1 (On Campus - Parkville) 12.5 BCMB20002 Biochemistry and Molecular Biology Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 BIOM20001 Molecular and Cellular Biomedicine Semester 1 (On Campus - Parkville) 25,None,BIOL30004 VETS30011
VETS90144,Prerequisites Satisfactory completion of all subjects at DVM 2 level,"All students are to enrol into the following corequisite subjects, unless directed by the Faculty of Veterinary and Agricultural Sciences:",CodeNameTeaching periodCredit PointsVETS90076Veterinary Medicine and Surgery ANo longer available
AUDI90033,Prerequisites All of Code Name Teaching period Credit Points AUDI90028 Swallowing and Voice Semester 2 (On Campus - Parkville) 12.5 AUDI90029 Clinical Processes B Semester 2 (On Campus - Parkville) 6.25 AUDI90030 Language Disorders Across the Lifespan Semester 2 (On Campus - Parkville) 12.5 AUDI90031 Speech Disorders Across the Lifespan Semester 2 (On Campus - Parkville) 12.5 AUDI90032 Speech Pathology Practice 1 Semester 2 (Extended) (On Campus - Parkville) 6.25,All ofCodeNameTeaching periodCredit PointsAUDI90034Planning and Integrating InterventionSemester 1 (On Campus - Parkville)6.25AUDI90035Speech and Language Disorders - AdvancedSemester 1 (On Campus - Parkville)12.5AUDI90036Disorders of FluencySemester 1 (On Campus - Parkville)6.25,None
MEDI40015,Prerequisites Code Name Teaching period Credit Points MEDI40014 Biomedicine Research Project Part 1 Semester 1 (On Campus - Parkville) 25,None,None
CLRS90028,Prerequisites None,None,None
DRAM30028,Prerequisites All of Code Name Teaching period Credit Points DRAM20030 Performance Practice 2 Semester 2 (On Campus - Southbank) 25 DRAM20031 Performance Skills 2 Semester 2 (On Campus - Southbank) 12.5,None,DRAM30021 Acting Lab 3
PHRM90023,Prerequisites None,All ofCodeNameTeaching periodCredit PointsPHTY90115Foundation Physiotherapy Sciences ASemester 1 (Early-Start) (On Campus - Parkville)12.5PHTY90117Integrated Professional Practice AFebruary (On Campus - Parkville)31.25,None
DENT90036,Prerequisites None,None,None
GEOL90024,Prerequisites All of Code Name Teaching period Credit Points GEOL90022 Practical Earth Science A February (On Campus - Parkville) July (On Campus - Parkville) 12.5 GEOL90023 Practical Earth Science B Semester 2 (On Campus - Parkville) 12.5,None,None
PSYC90017,Prerequisites All of Code Name Teaching period Credit Points PSYC90011 Introduction to Assessment and Diagnosis Summer Term (On Campus - Parkville) 6.25 PSYC90030 Principles of Psychological Assessment Semester 1 (On Campus - Parkville) 6.25 PSYC90023 Child Psychopathology Semester 1 (On Campus - Parkville) 6.25 PSYC90015 Advanced Psychopathology Semester 2 (On Campus - Parkville) 6.25,None,None
ABPL90413,Prerequisites Students must meet one of the following prerequisite options: Option 1 Admission into one of the following: 200pt Program course entry point in the MC-CM Master of Construction Management 300pt Program course entry point in the MC-ARCHCM Master of Architecture/Master of Construction Management 300pt Program course entry point in the MC-CMPROP Master of Construction Management/Master of Property 400pt Program Course entry in the MC-ARCHCM ( Master of Architecture /Master of Construction Management  - Construction background) 400pt Program Course entry in the MC-CMPROP  (Master of Construction Management /Master of Property - Construction background) Option 2 All of Code Name Teaching period Credit Points ABPL90312 Cost Management Semester 1 (On Campus - Parkville) 12.5 ABPL90313 Management of Construction Semester 1 (On Campus - Parkville) 12.5,None,None
NURS90130,Prerequisites Completion of an online Manual Handling module prior to clinical placement.,None,None
MEDI90120,Prerequisites All of Code Name Teaching period Credit Points MEDI90112 Clinical Ultrasound – Core Concepts Semester 2 (Online) Semester 1 (Online) 6.25 Note: these can be taken concurrently (at the same time),None,None
JAPN40008,"Prerequisites This subject is only available to students enrolled in a BH-Arts, Bachelor of Arts (Degree with Honours) or a GD-Arts, Graduate Diploma (Advanced).",None,JAPN40007
BMSC90030,Prerequisites Code Name Teaching period Credit Points BMSC90029 Research Project B (MMS) Part 1 Semester 2 (Extended) (On Campus - Parkville) Semester 1 (Extended) (On Campus - Parkville) 37.5,None,None
SCIE40002,Prerequisites 50 credit points of Level 9 subjects as appropriate to research field OR 25 credit points of Level 9 subjects as appropriate to research field AND 25 credit points of Level 9 subjects as appropriate to research field Note: 25 credit points of Level 9 subjects as appropriate to research field can be taken concurrently (at the same time).,None,None
ANSC30006,Prerequisites One of Code Name Teaching period Credit Points AGRI20043 Biochemistry in Agricultural Systems Semester 1 (On Campus - Parkville) 12.5 BCMB20002 Biochemistry and Molecular Biology Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 BIOM20001 Molecular and Cellular Biomedicine Semester 1 (On Campus - Parkville) 25 AND One of Code Name Teaching period Credit Points AGRI20044 Microbiology in Agriculture Semester 1 (On Campus - Parkville) 12.5 MIIM20001 Principles of Microbiology & Immunology Semester 1 (On Campus - Parkville) 12.5,None,None
FLTV90032,Prerequisites None,None,None
CHIN90001,"Prerequisites Selection of one of the following: Chinese Studies specialisation (formal) in the BH-ARTS Bachelor of Arts (Degree with Honours), Chinese Studies specialisation (formal) in the GDA-ARTS Graduate Diploma in Arts (Advanced) OR Head of Program approval is required for enrolment by Community Access Program (CAP), Inbound Exchange/Study Abroad or Incoming Cross-institutional students.",None,None
MECM90019,"Prerequisites This subject is taught intensively over five days in July on location in China, with students spending 3 further days in Shanghai. An application process applies for enrolment into this subject. Students who wish to apply to undertake this subject please visit: https://arts.unimelb.edu.au/students/overseas-experience",None,None
