Subject Code,Prerequisites
EDUC90578,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
FLTV90050,Prerequisites Code Name Teaching period Credit Points FLTV90049 Screen Making 1 Semester 1 (On Campus - Southbank) 25
CHEN90020,Prerequisites Code Name Teaching period Credit Points CHEN20010 Material and Energy Balances Semester 1 (On Campus - Parkville) 12.5 AND Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points CHEN20011 Digitisation in the Process Industries Semester 2 (On Campus - Parkville) 12.5
EDUC90685,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
MUSI10235,Prerequisites AUDITION: Students are required to request an audition for this subject. Follow the link below to locate the relevant audition form. Link to audition forms Note: This subject requires a successful audition outcome to enrol. A successful audition outcome may be used as proof of permission to enrol with the submission of an Enrolment Assistance form to Stop 1. Link to Enrolment Assistance form
MUSI30279,Prerequisites AUDITION: Students are required to request an audition for this subject. Follow the link below to locate the relevant audition form. Link to audition forms Note: This subject requires a successful audition outcome to enrol. A successful audition outcome may be used as proof of permission to enrol with the submission of an Enrolment Assistance form to Stop 1. Link to Enrolment Assistance form
MUSI20091,Prerequisites AUDITION: Students are required to request an audition for this subject. Follow the link below to locate the relevant audition form. Link to audition forms Note: This subject requires a successful audition outcome to enrol. A successful audition outcome may be used as proof of permission to enrol with the submission of an Enrolment Assistance form to Stop 1. Link to Enrolment Assistance form
MUSI10041,Prerequisites None
MUSI20069,Prerequisites None
MUSI40078,Prerequisites None
FLTV90056,Prerequisites Code Name Teaching period Credit Points FLTV90052 Screen Production Not available in 2024 37.5
MUSI40058,"Prerequisites Admission into one of the following: GD-MUS Graduate Diploma in Music, BH-MUS Bachelor of Music (Degree with Honours)"
MUST10017,Prerequisites None
MUSI40021,Prerequisites None
POLS90034,Prerequisites None
EDUC90728,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC91017,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90943,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90952,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90942,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90258,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90954,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90578,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
MUSI10235,Prerequisites AUDITION: Students are required to request an audition for this subject. Follow the link below to locate the relevant audition form. Link to audition forms Note: This subject requires a successful audition outcome to enrol. A successful audition outcome may be used as proof of permission to enrol with the submission of an Enrolment Assistance form to Stop 1. Link to Enrolment Assistance form
MUSI40078,Prerequisites None
MUSI40054,Prerequisites None
MUSI30277,Prerequisites AUDITION: Students are required to request an audition for this subject. Follow the link below to locate the relevant audition form. Link to audition forms Note: This subject requires a successful audition outcome to enrol. A successful audition outcome may be used as proof of permission to enrol with the submission of an Enrolment Assistance form to Stop 1. Link to Enrolment Assistance form
MUSI30183,Prerequisites AUDITION: Students are required to request an audition for this subject. Follow the link below to locate the relevant audition form. Link to audition forms Note: This subject requires a successful audition outcome to enrol. A successful audition outcome may be used as proof of permission to enrol with the submission of an Enrolment Assistance form to Stop 1. Link to Enrolment Assistance form
MUSI10068,Prerequisites AUDITION: Students are required to request an audition for this subject. Follow the link below to locate the relevant audition form. Link to audition forms Note: This subject requires a successful audition outcome to enrol. A successful audition outcome may be used as proof of permission to enrol with the submission of an Enrolment Assistance form to Stop 1. Link to Enrolment Assistance form
FLTV90052,Prerequisites Code Name Teaching period Credit Points FLTV90050 Screen Making 2 (Filmmaking) Semester 2 (On Campus - Southbank) 25 OR Code Name Teaching period Credit Points FLTV90051 Screen Making 2 (Screen Producing) Semester 2 (On Campus - Southbank) 25
MUSI30286,Prerequisites None
MUSI30283,Prerequisites
EDUC90938,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
AGRI10050,Prerequisites Code Name Teaching period Credit Points AGRI10053 Agriculture Discovery February (On Campus - Dookie) 0
LING90010,"Prerequisites Please note: the minor thesis is designed to be undertaken towards the end of the degree program. Students should therefore plan to enroll in the thesis in their final semester. Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points LING90003 Research in Applied Linguistics Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 For quantitative theses, prior completion of, or concurrent enrolment in, LING90005 Quantitative Methods in Language Studies may be required. Students must obtain an average of H1 overall (80 or above) to undertake a minor thesis."
ISYS90118,Prerequisites
PHTY90122,Prerequisites Code Name Teaching period Credit Points PHTY90117 Integrated Professional Practice A February (On Campus - Parkville) 31.25
OPTO40013,Prerequisites Code Name Teaching period Credit Points OPTO40012 Vision Science Research Project Part 1 Semester 1 (On Campus - Parkville) 25
ACCT90012,"Prerequisites Admission into one of the following: MC-MGMTAFN Master of Management (Accounting and Finance), 150pt Program course entry point in the MC-MGMTACT Master of Management (Accounting) OR Code Name Teaching period Credit Points ACCT90004 Accounting for Decision Making Summer Term (On Campus - Parkville) Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5"
PHTY40014,Prerequisites Prerequisites Code Name Teaching period Credit Points PHTY40013 Physiotherapy Science Research Project 1 Semester 1 (On Campus - Parkville) 25
EDUC91030,Prerequisites None
ELEN90052,"Prerequisites All of Code Name Teaching period Credit Points ELEN90058 Signal Processing Semester 2 (On Campus - Parkville) 12.5 ELEN90054 Probability and Random Models Semester 1 (On Campus - Parkville) 12.5 (prior to 2011, ELEN30008 Signal Processing 1 and ELEN30002 Stochastic Signals and Systems)"
PHIL90039,Prerequisites PHIL90038 Applied Ethics Thesis Part 1
EDUC90944,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90951,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90941,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90642,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90640,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90612,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90606,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90680,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90683,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90006,"Prerequisites Students admitted to courses/entry points not specified below have no prerequisites for this subject. Students in the 200-point program of the Master of Education, Master of TESOL or Master of Modern Languages Education, must have completed the following four compulsory subjects*: All of Code Name Teaching period Credit Points EDUC90929 Understanding Education in Context Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 EDUC90930 Local Literacies in Global Contexts Semester 1 (Dual-Delivery - Parkville) Semester 2 (Dual-Delivery - Parkville) 12.5 EDUC91029 Understanding the Student as Learner Semester 2 (Dual-Delivery - Parkville) Semester 1 (Dual-Delivery - Parkville) 12.5 EDUC91030 Research in Educational Relationships Semester 1 (Online) Semester 1 (On Campus - Parkville) Semester 2 (Online) Semester 2 (On Campus - Parkville) 12.5 *Students that commenced their course prior to 2021 may have completed EDUC90830 in place of EDUC91029, and EDUC90900 in place of EDUC91030: Code Name Teaching period Credit Points EDUC90830 The Student as Learner Term 3 (Online) Term 1 (Online) 12.5 EDUC90900 Resilience and Relationships Term 3 (Online) Term 1 (Online) 12.5"
EDUC90845,Prerequisites Admission into the MC-LI Master of Learning Intervention AND Completion of a minimum of 50 credit points of study in course. AND Students must be eligible for teacher registration with the Victorian Institute of Teaching (VIT). Contact the VIT (link below) to determine eligibility if you do not already hold current registration. https://www.vit.vic.edu.au/education/new-teachers
SCIE10003,"Prerequisites Code Name Teaching period Credit Points SCIE10002 Science: Systems, Technology and Design Semester 2 (On Campus - Parkville) 12.5"
SCIE10001,Prerequisites Admission into the B-SCIEXT Bachelor of Science (Extended)
